id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
66,0,13.219,25.67,388.306,52.118,80,81.586,100,71.405,33.654,79.223,33.654,10.554,18.326,4.643,26.775,38.43,80.469,22.247,18.893,10.83,10.83,10.135,4.036,4.036,337.313,2.343,3.004,8.596,95.964,1,473.339,396.835,1.429,130,52.1,9.606,0.505,23.57,2.885,11.706,2.684,-0.914,30.445,129.83,17.231,19.525,267.164,267.164
67,0,68.254,216.201,46.253,138.611,153.012,87.034,169.392,71.405,187.934,31.742,233.417,68.43,4.167,4.643,5.278,82.14,86.815,13.407,13.133,7.277,7.11,13.227,7.329,7.161,224.286,2.214,5.897,6.449,92.839,1,46.392,43.943,0.31,11.34,-36.684,60.116,2.305,5.227,1.077,4.845,0.993,-0.042,45.169,124.702,19.975,12.302,320,39.543
74,0,76.617,146.467,68.275,152.186,469.231,84.577,175.61,71.405,298.611,25.99,310.648,47.69,5.046,6.61,6.383,68.111,83.587,13.782,13.765,10.324,10.324,7.678,5.759,5.759,400,4,1.92,4.831,94.241,1,49.031,45.902,0.31,14.009,-24.307,17.595,1.705,4.84,1.795,6.436,1.793,-1.013,49.51,98.153,20.909,9.656,470.968,23.895
76,0,67.47,108.493,92.172,36.56,187.639,70.92,100,45.151,80.052,33.598,130.703,37.812,25.304,4.643,10.066,51.606,60.948,9.637,5.05,5.05,5.05,10.439,5.549,5.549,214.247,2.249,3.65,5.638,94.584,1,86.032,77.372,0.398,13.238,-5.282,56.001,2.846,16.408,0.923,3.545,0.91,-0.123,12.056,113.427,7.025,13.433,381.029,41.034
78,0,52.644,101.752,98.278,87.719,141.667,48.263,100,41.541,85.547,50.2,93.285,48.263,46.073,4.643,61.431,45.008,44.534,3.762,3.461,0.824,0.824,3.601,0.818,0.818,137.5,1.313,2.619,6.419,99.182,1,98.122,25.88,14.664,1.565,-0.906,40.771,0.953,105.886,1.045,2.631,1.007,-0.641,42.604,84.665,54.286,30.047,681.25,37.457
81,0,76.14,129.718,77.09,99.055,264.706,87.034,103.361,71.405,404.065,25.616,590.98,41.303,4.167,0.201,47.584,98.472,86.815,5.919,6.722,0.195,0.195,9.547,0.318,0.318,89.552,1.03,7.09,6.923,99.688,4,57.767,30.279,1.396,1.881,-17.444,19.31,1.165,67.802,0.62,3.528,0.612,0.025,21.14,97.188,0.261,-0.748,102.985,22.791
84,0,29.732,54.434,183.709,26.511,293.989,87.034,169.392,68.033,438.596,74.502,590.98,45.38,4.167,4.247,61.431,51.235,86.815,8.21,8.201,2.929,5.565,4.714,1.684,3.199,155.556,2.093,3.03,6.246,96.742,1,154.844,25.88,1.314,6.24,24.888,58.809,0.505,113.16,1.742,3.156,1.74,0.392,23.235,80.309,9.961,5.058,224.074,48.684
86,0,13.219,25.67,388.306,23.456,1090.909,38.915,101.385,63.443,86.612,55.503,98.087,28.223,28.774,0.393,7.252,67.475,68.798,6.836,6.723,0.454,0.454,6.187,0.418,0.418,107.246,1.072,5.769,8.596,99.582,1,311.142,288.579,114.485,115.877,52.1,60.609,5.02,14.588,1.105,2.019,1.087,-1.013,15.082,80.309,2.226,1.435,118.841,24.773
88,0,41.571,64.964,153.933,34.884,50.584,87.034,121.739,71.405,475.785,49.512,590.98,36.008,4.167,0.425,3.852,94.698,86.815,9.299,9.296,0.549,0.423,10.8,0.638,0.491,106.28,1.048,7.09,8.596,99.509,1,162.264,156.014,24.764,26.297,22.42,55.817,0.798,9.951,0.861,10.667,0.861,-0.122,50.409,104.471,5.962,5.002,155.556,46.434
93,0,28.319,51.53,194.063,51.111,771.111,59.381,174.742,61.504,135.398,61.062,150.147,45.044,30,12.832,35.679,24.637,67.215,20.753,18.565,14.396,14.396,7.409,5.14,5.14,497.619,4.452,1.489,5.703,94.86,1,159.136,102.358,23.576,52.063,26.637,11.2,1.514,23.781,2.801,5.228,2.801,0.681,57.384,98.349,30.213,26.549,547.619,50.439
